# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.9720000,-39.8924000,-43.3497000,0.7623960,0.0042680,0.0015589,0.0138219,1.2364800,0.1554370,0.8034070,0.0004986,-0.0009748,-0.7623960
0.9810000,-39.8924000,-43.3497000,0.7626140,0.0025911,0.0018185,0.0286554,-0.8052510,-0.0855169,1.3631900,0.0004679,-0.0009914,-0.7626140
0.9900000,-39.8924000,-43.3497000,0.7627410,-0.0006672,0.0005412,0.0074917,-0.1116160,-0.0992862,-2.7548400,0.0004647,-0.0010003,-0.7627410
1.0020000,-39.8924000,-43.3497000,0.7627840,0.0020781,0.0010971,0.0007051,0.6094290,0.5942070,0.0779341,0.0005227,-0.0009723,-0.7627840
1.0110000,-39.8923000,-43.3497000,0.7627530,0.0005727,-0.0006643,-0.0102440,0.1643710,-0.0765918,-2.8119600,0.0005079,-0.0009732,-0.7627530
1.0200000,-39.8923000,-43.3497000,0.7627420,0.0026195,-0.0008811,0.0044079,0.6881350,0.6830210,1.8634900,0.0004871,-0.0009614,-0.7627420
1.0320000,-39.8923000,-43.3497000,0.7628450,0.0017924,0.0001147,0.0082981,-0.2133600,-0.5657540,-2.1307700,0.0004647,-0.0009718,-0.7628450
1.0410000,-39.8923000,-43.3497000,0.7628890,-0.0043797,-0.0033499,-0.0012800,-1.7822500,-0.9448800,-2.6114800,0.0004701,-0.0009601,-0.7628890
1.0530000,-39.8923000,-43.3497000,0.7629760,-0.0012117,-0.0014552,0.0045419,-0.2433090,0.1007830,-0.8942480,0.0004864,-0.0009383,-0.7629760
1.0620000,-39.8923000,-43.3497000,0.7630020,0.0005347,-0.0006729,0.0042284,-1.3095300,-0.5249550,-0.7601480,0.0004682,-0.0009394,-0.7630020
1.0710000,-39.8923000,-43.3497000,0.7630350,-0.0015010,-0.0019544,0.0030358,-0.6083540,-0.5823000,-0.3169540,0.0004622,-0.0009325,-0.7630350
1.0830000,-39.8923000,-43.3498000,0.7630580,-0.0019434,-0.0061159,-0.0017147,-0.6824680,-1.6426600,0.3054080,0.0004693,-0.0009078,-0.7630580
1.0920000,-39.8923000,-43.3498000,0.7630530,-0.0000824,-0.0009648,0.0064450,0.6992380,0.5668420,2.1154000,0.0004834,-0.0008906,-0.7630530
1.1010000,-39.8923000,-43.3498000,0.7631280,0.0018138,0.0004461,0.0057541,0.7196680,0.2050770,-1.8287500,0.0004718,-0.0008913,-0.7631280
1.1130000,-39.8923000,-43.3498000,0.7632280,0.0022651,0.0003303,0.0109473,0.8650180,0.1006600,-0.2406370,0.0004604,-0.0008923,-0.7632280
1.1220000,-39.8923000,-43.3498000,0.7632730,-0.0001356,-0.0003869,0.0069159,-0.9092710,-0.0424407,0.8008830,0.0004532,-0.0008893,-0.7632730
1.1310000,-39.8923000,-43.3498000,0.7632200,-0.0041669,-0.0005069,-0.0134696,-0.9511720,-0.3849680,-2.9300300,0.0004642,-0.0008908,-0.7632200
1.1430000,-39.8923000,-43.3498000,0.7633490,0.0006020,-0.0009824,0.0222738,0.3254620,-0.4818450,1.7579400,0.0004802,-0.0008921,-0.7633490
1.1520000,-39.8923000,-43.3498000,0.7634740,-0.0000577,0.0005812,0.0083586,-1.0507100,-0.1993640,-1.8423600,0.0004590,-0.0009015,-0.7634740
1.1610000,-39.8923000,-43.3498000,0.7634870,-0.0021365,-0.0024015,0.0031155,-0.6274540,-0.5312200,2.2815300,0.0004737,-0.0008878,-0.7634870
1.1730000,-39.8923000,-43.3498000,0.7636290,-0.0017640,-0.0013256,0.0096340,-0.5780730,-0.6453700,-1.8515400,0.0004778,-0.0008867,-0.7636290
1.1820000,-39.8923000,-43.3498000,0.7637280,-0.0003986,-0.0016935,0.0059423,-0.3872540,-0.4772980,-2.8664200,0.0004768,-0.0008834,-0.7637280
1.1910000,-39.8923000,-43.3498000,0.7637660,-0.0006814,-0.0014272,-0.0034566,-0.2980790,-0.1166230,-2.4103600,0.0004780,-0.0008697,-0.7637660
1.2030000,-39.8923000,-43.3498000,0.7637890,-0.0008373,-0.0006912,0.0018835,-0.0309888,-0.2118350,-0.0677493,0.0004870,-0.0008678,-0.7637890
1.2120000,-39.8923000,-43.3498000,0.7638960,0.0017785,0.0016463,0.0160710,0.4263760,0.8483710,1.0764000,0.0004820,-0.0008711,-0.7638960
1.2210000,-39.8923000,-43.3498000,0.7640540,0.0008070,0.0026474,0.0185337,0.0843649,-0.2214580,-0.3203810,0.0004819,-0.0008905,-0.7640540
1.2330000,-39.8923000,-43.3497000,0.7642700,-0.0003471,0.0030055,0.0186241,-0.5777890,-0.5208220,1.8945800,0.0004635,-0.0009410,-0.7642700
1.2420000,-39.8923000,-43.3497000,0.7644690,-0.0001855,0.0047524,0.0161785,-0.0112309,0.0296537,-3.6427500,0.0004729,-0.0009775,-0.7644690
1.2510000,-39.8923000,-43.3497000,0.7645740,-0.0005192,0.0029991,0.0044069,-0.3422630,-0.3644970,-1.6888000,0.0004709,-0.0010112,-0.7645740
1.2630000,-39.8923000,-43.3496000,0.7646150,0.0009329,0.0009851,0.0078885,0.3920550,-0.5792870,0.9602010,0.0004739,-0.0010286,-0.7646150
